Tara,Cod,Continent
Albania,ALB,Europa
Algeria,DZA,Africa
American Samoa,ASM,AmericaN
Andorra,AND,Europa
Angola,AGO,Africa
Antigua and Barbuda,ATG,AmericaN
Argentina,ARG,AmericaS
Armenia,ARM,Europa
Aruba,ABW,AmericaN
Australia,AUS,Oceania
Austria,AUT,Europa
Azerbaijan,AZE,Europa
"Bahamas, The",BHS,AmericaN
Bahrain,BHR,Asia
Bangladesh,BGD,Asia
Barbados,BRB,AmericaN
Belarus,BLR,Europa
Belgium,BEL,Europa
Belize,BLZ,AmericaN
Benin,BEN,Africa
Bermuda,BMU,AmericaN
Bhutan,BTN,Asia
Bolivia,BOL,AmericaS
Bosnia and Herzegovina,BIH,Europa
Botswana,BWA,Africa
Brazil,BRA,AmericaS
British Virgin Islands,VGB,AmericaN
Brunei Darussalam,BRN,Asia
Bulgaria,BGR,Europa
Burkina Faso,BFA,Africa
Burundi,BDI,Africa
Cabo Verde,CPV,Africa
Cambodia,KHM,Asia
Cameroon,CMR,Africa
Canada,CAN,AmericaN
Cayman Islands,CYM,AmericaN
Central African Republic,CAF,Africa
Channel Islands,CHI,Europa
Chile,CHL,AmericaS
China,CHN,Asia
Colombia,COL,AmericaS
Comoros,COM,Africa
"Congo, Dem. Rep.",COD,Africa
"Congo, Rep.",COG,Africa
Costa Rica,CRI,AmericaN
Croatia,HRV,Europa
Curacao,CUW,AmericaN
Cyprus,CYP,Europa
Czech Republic,CZE,Europa
Denmark,DNK,Europa
Dominica,DMA,AmericaN
Dominican Republic,DOM,AmericaN
Ecuador,ECU,AmericaS
"Egypt, Arab Rep.",EGY,Africa
El Salvador,SLV,AmericaN
Equatorial Guinea,GNQ,Africa
Eritrea,ERI,Africa
Estonia,EST,Europa
Ethiopia,ETH,Africa
Faroe Islands,FRO,Europa
Fiji,FJI,Oceania
Finland,FIN,Europa
France,FRA,Europa
French Polynesia,PYF,Oceania
Gabon,GAB,Africa
"Gambia, The",GMB,Africa
Georgia,GEO,Europa
Germany,DEU,Europa
Ghana,GHA,Africa
Gibraltar,GIB,Europa
Greece,GRC,Europa
Greenland,GRL,AmericaN
Grenada,GRD,AmericaN
Guam,GUM,Oceania
