SIRUTA,NR_FIRME,NSAL,CFA,PROFITN,PIERDEREN
179132,111826,1177345,330641496321.0,22997762362.0,16954653951.0
54975,17673,109526,23162554203.0,1341388982.0,818218913.0
75098,6925,81295,19383617514.0,1241694937.0,322409059.0
155243,13711,107087,19022600421.0,1306245774.0,896346623.0
40198,11996,92738,18830028385.0,1004534726.0,718591785.0
60419,12525,92977,18798286829.0,1370507238.0,560274276.0
130534,7056,73406,17755310059.0,885895312.0,914008698.0
179551,2265,22619,17716849296.0,897675159.0,906185764.0
26564,10558,70822,12458546173.0,444111685.0,439066244.0
95060,10492,76693,11249695333.0,655717954.0,504278100.0
179481,967,15128,11089387105.0,466376303.0,175856231.0
9262,6695,59286,10562062057.0,531121705.0,857418621.0
114319,5849,101867,10544189018.0,499135351.0,249258175.0
60507,791,6300,10276975216.0,36368881.0,733722422.0
143450,6070,56676,10117101096.0,435203636.0,435495917.0
69900,8668,64834,10034705888.0,695438907.0,676725530.0
13169,6240,57300,9909922638.0,466394112.0,291369708.0
13301,542,16765,8664528754.0,254824121.0,21221557.0
44818,4352,36269,8397640484.0,385995898.0,241382487.0
20297,5385,39475,7779507117.0,630981636.0,137871354.0
167473,3916,41065,7421834395.0,219957994.0,424624525.0
125347,2841,26812,6520637539.0,378329491.0,136603455.0
143619,1139,25072,6125100526.0,844598010.0,33851611.0
106318,5909,43501,5728196829.0,287230014.0,477644692.0
136483,3674,35173,4813604773.0,213464224.0,156468773.0
65342,2929,26031,4807770740.0,324747777.0,93763560.0
42682,4425,39075,4763525713.0,229847341.0,223961165.0
32394,3129,27926,4698581887.0,191522472.0,50262345.0
179463,315,6190,3666954688.0,76538921.0,66383731.0
86687,2445,77580,3405323062.0,107781441.0,60461633.0
120726,3866,24973,3370063043.0,176535953.0,67199579.0
35731,2333,25165,3298725061.0,129751874.0,80434759.0
109773,2448,22213,3169701690.0,93210887.0,195370691.0
146263,3366,24357,3157710094.0,146297537.0,95727326.0
174744,2698,24394,3140026228.0,163469789.0,62143216.0
159614,2642,21572,2808200334.0,130678359.0,162850925.0
63394,2009,16850,2789381499.0,861076932.0,52378165.0
92569,2017,14979,2753340035.0,103484904.0,51605667.0
179515,747,7867,2716579172.0,92589215.0,82604526.0
77812,2938,21216,2715445124.0,129682931.0,31525894.0
179533,950,8661,2681145495.0,136337161.0,207449700.0
139704,2115,12249,2602832794.0,184856082.0,30708091.0
92658,1261,10738,2582177215.0,120333959.0,38705348.0
83133,1422,15040,2470903576.0,112827553.0,45233235.0
60482,1305,12486,2358309159.0,69073985.0,476709579.0
1874,962,9306,2356408516.0,38817476.0,100863037.0
1017,2839,18339,2316397026.0,104098408.0,72823048.0
100781,103,2288,2215051329.0,60059181.0,1005690.0
179409,321,5464,2110909312.0,57322917.0,27717531.0
131256,1219,12441,2060100597.0,213436525.0,19024484.0
83320,1850,14405,2041865038.0,86064681.0,52257856.0
50790,1846,15938,1977196169.0,132658452.0,69007865.0
120860,1459,11876,1953241647.0,40623286.0,228224399.0
86810,1368,10387,1898215116.0,62277899.0,15728696.0
20563,1424,11169,1890978159.0,60297728.0,161444954.0
100834,473,4037,1870292317.0,53325649.0,45037069.0
105419,169,2617,1801922280.0,56211225.0,80780782.0
151790,1595,11384,1801180399.0,87268815.0,36332445.0
161945,1567,15032,1783489621.0,69669510.0,33664141.0
100521,1616,10593,1639486236.0,67185241.0,156360025.0
86990,861,19093,1539323196.0,37801662.0,387183703.0
179249,507,4201,1539211312.0,38430377.0,46605915.0
155350,1273,12107,1535574048.0,72939723.0,35447384.0
132075,116,2680,1515121329.0,27731409.0,77630679.0
40492,467,4601,1510473727.0,28617311.0,24447285.0
55008,1243,6913,1367626433.0,36855111.0,57047264.0
40900,238,4826,1330794351.0,18560816.0,25712688.0
161794,1239,12390,1315478826.0,60431272.0,22357941.0
100576,710,5460,1276603958.0,33379540.0,79209822.0
155528,334,13493,1274844537.0,32602838.0,68568612.0
40214,223,4568,1260217064.0,49703325.0,31415877.0
155314,477,5474,1240810140.0,134213254.0,41625403.0
155289,332,4419,1219857772.0,61549213.0,54424433.0
146628,828,6013,1205412863.0,36299721.0,55102257.0
179383,314,3398,1174537889.0,40676990.0,45632084.0
13276,216,5119,1163698532.0,26565414.0,9411578.0
65681,351,3637,1127975775.0,55418767.0,6501845.0
55259,1450,7959,1126515845.0,57441440.0,29381769.0
179221,606,3921,1108290912.0,48881874.0,59899870.0
114809,1090,9580,1083376036.0,62148894.0,23237044.0
136526,555,5513,1046609595.0,66263026.0,11258988.0
105570,172,2042,1008707072.0,70519432.0,25093460.0
55357,544,5642,987676074.0,64020726.0,8190008.0
114514,788,9052,962167573.0,55565708.0,22751050.0
55687,313,2921,897575732.0,39593692.0,8408538.0
87291,412,4322,893281939.0,21718755.0,38292331.0
143557,304,3626,889028415.0,42641736.0,30309413.0
13622,838,8448,885697080.0,57202388.0,14740600.0
13187,334,4708,861345500.0,37677387.0,11830498.0
40438,780,6482,852666876.0,30663555.0,15312630.0
95391,845,7383,847253520.0,47134362.0,15353491.0
40241,560,6388,845787241.0,21808871.0,30979852.0
102605,175,1869,840003667.0,30791762.0,35077736.0
125472,708,7715,835584332.0,34402907.0,4957507.0
136599,483,4122,814507275.0,59294085.0,9015163.0
133161,193,3326,807511193.0,56255136.0,4727162.0
74859,142,2540,789429221.0,30803611.0,2126199.0
146432,323,2936,778593243.0,28487488.0,16476592.0
130678,249,2784,759877648.0,36760692.0,4549574.0
101957,119,894,759227309.0,43597791.0,11524165.0
29243,51,2376,758752167.0,2622001.0,102240101.0
57902,289,1956,748502014.0,42435157.0,4405677.0
13490,1091,6942,747863569.0,39429196.0,15676840.0
63740,488,6102,728683255.0,50096337.0,42668378.0
75203,920,5354,724520707.0,26566525.0,8196469.0
106559,957,7720,700311719.0,28280777.0,6002948.0
9495,131,3905,695043991.0,18235449.0,51133719.0
57706,666,4457,684504655.0,26471942.0,29451553.0
100683,456,4661,683613516.0,38280578.0,19044672.0
60570,259,2250,674862210.0,38406415.0,11328252.0
1696,393,5515,665982870.0,40814655.0,78587054.0
13365,162,2289,655652291.0,22929524.0,6692455.0
120771,201,3161,638756572.0,16314427.0,3217498.0
100610,780,4307,637275949.0,17795875.0,13376757.0
101163,132,1318,623489859.0,14553976.0,25336855.0
40278,955,5542,615568974.0,27902153.0,37680759.0
151683,457,4344,608163274.0,14199703.0,10880560.0
48771,99,1219,591536917.0,7974668.0,31307492.0
179285,391,2508,588235515.0,39681180.0,7690103.0
102035,208,1825,580113729.0,31654514.0,10404734.0
155261,547,3515,577027600.0,30442242.0,52113581.0
143771,38,1502,561563773.0,3647237.0,226210682.0
108106,55,2103,559054318.0,34485275.0,265008.0
60776,339,4269,546645846.0,34729910.0,8244433.0
101742,133,962,544523135.0,18984793.0,10006338.0
60847,888,4723,541012147.0,24394182.0,10840367.0
26840,208,2757,538689933.0,2096163.0,64004787.0
120487,128,1842,532030109.0,7601622.0,47295015.0
83561,640,4838,531573973.0,12335904.0,7430531.0
44845,984,4753,530894269.0,26504415.0,7571036.0
130981,450,2949,525071713.0,45610662.0,7833455.0
100969,305,2183,521464165.0,60395524.0,19857315.0
146539,602,4016,509479349.0,10947961.0,5580454.0
179310,338,2221,506765173.0,121180872.0,18132409.0
87638,518,4325,504520616.0,21923491.0,37866265.0
4366,71,1723,500576052.0,14310511.0,6249250.0
120824,162,2602,490277418.0,10008172.0,15707637.0
151978,206,3161,490031313.0,9920194.0,16521604.0
32483,259,2207,485279529.0,14926025.0,7815873.0
55384,703,4903,479761030.0,18079034.0,4336498.0
51010,788,4323,476327245.0,28274525.0,35179483.0
102570,208,1500,472595037.0,17783550.0,33338055.0
161829,572,5373,464603715.0,16957389.0,9420173.0
27631,169,1872,460135091.0,14125135.0,6629532.0
66081,171,1556,455497517.0,45086235.0,1797507.0
26975,601,3820,452811385.0,12233274.0,24820011.0
139358,62,1880,446951795.0,7929920.0,2586740.0
121055,617,3819,441955626.0,9724925.0,10240681.0
83491,60,2293,439800137.0,987449.0,49515160.0
50969,222,2646,438214935.0,22956043.0,4176259.0
145499,108,1206,429775604.0,5591653.0,5417241.0
106407,164,2115,428816121.0,13164289.0,2365181.0
146744,471,3111,428399949.0,14130555.0,8336366.0
131540,493,3998,423583027.0,27947001.0,8520117.0
130552,142,1514,409515832.0,28677606.0,9820769.0
103130,91,506,409395748.0,21260905.0,2712818.0
167981,514,2426,407606056.0,22609525.0,4173779.0
1348,333,3526,404600663.0,10379141.0,26650273.0
1213,548,4546,403646225.0,26239656.0,5854793.0
131817,311,2634,402767851.0,14929259.0,7732908.0
151870,618,3153,393048923.0,13201916.0,19777705.0
70502,77,824,390562614.0,22276263.0,658157.0
32027,191,4477,389898730.0,18450837.0,1417055.0
159437,50,899,388843568.0,53344959.0,11794353.0
114925,433,2828,387297478.0,13231022.0,14385490.0
60687,388,2294,382213432.0,25404431.0,17088394.0
102286,85,980,377291008.0,1197345.0,7010776.0
13392,353,2691,370349590.0,19854075.0,7613681.0
139884,370,2486,368158140.0,12304876.0,7629244.0
9459,173,1384,366938985.0,7947440.0,19333225.0
92701,361,2749,360716144.0,16731846.0,1665780.0
155403,129,1180,358273715.0,22853471.0,2838024.0
171101,22,455,356708858.0,9425919.0,74518.0
174860,377,2484,356326796.0,13413363.0,3234959.0
87665,390,3003,356096203.0,15175967.0,3018636.0
87576,314,2395,349450396.0,17542663.0,1938127.0
125418,394,4187,345262102.0,15198867.0,4019973.0
62360,188,1109,344870925.0,11663632.0,4627122.0
97919,254,1676,339189611.0,9341806.0,36625164.0
145792,76,952,338140164.0,12780882.0,16055677.0
130847,194,3446,333039681.0,17729524.0,6205588.0
143735,382,3668,330346863.0,13838454.0,15607047.0
131407,228,2417,327745805.0,24239323.0,2130482.0
131069,172,1960,324559086.0,22589385.0,6409965.0
114382,242,2143,322610670.0,17720825.0,5724125.0
36006,509,3872,322397389.0,13438427.0,4043388.0
75150,129,1613,318746961.0,9018854.0,2414711.0
73629,80,1360,317289462.0,9646531.0,12375516.0
27436,134,1356,312388742.0,22597942.0,3153561.0
130712,143,2104,311878005.0,46773424.0,26952095.0
101902,106,492,311354001.0,18699737.0,8281472.0
26877,495,4350,307841539.0,15513047.0,5542151.0
41925,231,1739,306411662.0,28316244.0,24454217.0
114355,133,1091,302832058.0,17063398.0,1002918.0
93628,14,812,296033975.0,837680.0,38074077.0
155458,124,2482,295231482.0,4404531.0,40517642.0
32544,289,1937,285649375.0,11658887.0,4104598.0
105160,282,1014,285563365.0,12392610.0,15196112.0
20821,382,2282,285479380.0,9703467.0,15066371.0
110063,259,2090,282652642.0,22857611.0,3627637.0
92765,124,1349,282491687.0,6889386.0,20952570.0
130785,164,1225,281736408.0,12571525.0,3264440.0
145827,153,1768,281566230.0,10379092.0,3354507.0
155494,206,2674,281421949.0,7510654.0,26180606.0
146584,480,2244,281053293.0,20144317.0,7114475.0
9397,363,1076,280436592.0,14049425.0,8080598.0
104136,162,1057,280323274.0,7477605.0,5860015.0
101804,73,481,278576660.0,15252986.0,300875.0
105936,147,771,277776353.0,10451390.0,2274179.0
114710,413,2321,276746826.0,12875765.0,9703980.0
40367,495,2003,274778821.0,9378027.0,16233748.0
